,Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
0,EMP0001,32,Non-binary,HR,Healthcare,13,Hybrid,47,7,2,Medium,Depression/Anxiety/Burnout,No,Decrease,1,Unsatisfied,1,Weekly,Good,Europe
1,EMP0002,40,Female,Data Scientist,IT,3,Remote,52,4,1,Medium,Depression/Anxiety/Burnout,No,Increase,3,Satisfied,2,Weekly,Good,Asia
2,EMP0003,59,Non-binary,Software Engineer,Education,22,Hybrid,46,11,5,Medium,Depression/Anxiety/Burnout,No,No Change,4,Unsatisfied,5,No Physical Activity,Poor,North America
3,EMP0004,27,Male,Software Engineer,Finance,20,Onsite,32,8,4,High,Depression/Anxiety/Burnout,Yes,Increase,3,Unsatisfied,3,No Physical Activity,Poor,Europe
4,EMP0005,49,Male,Sales,Consulting,32,Onsite,35,12,2,High,No mental health conditions,Yes,Decrease,3,Unsatisfied,3,Weekly,Average,North America
5,EMP0006,59,Non-binary,Sales,IT,31,Hybrid,39,3,4,High,No mental health conditions,No,Increase,5,Unsatisfied,1,No Physical Activity,Average,South America
6,EMP0007,31,Prefer not to say,Sales,IT,24,Remote,51,7,3,Low,Depression/Anxiety/Burnout,Yes,Decrease,5,Neutral,3,Daily,Poor,Asia
7,EMP0008,42,Non-binary,Data Scientist,Manufacturing,6,Onsite,54,7,3,Medium,Depression/Anxiety/Burnout,No,Decrease,5,Satisfied,4,No Physical Activity,Average,North America
8,EMP0009,56,Prefer not to say,Data Scientist,Healthcare,9,Hybrid,24,4,2,High,No mental health conditions,Yes,Decrease,2,Unsatisfied,4,Daily,Poor,Europe
9,EMP0010,30,Female,HR,IT,28,Hybrid,57,6,1,Low,Depression/Anxiety/Burnout,Yes,Decrease,2,Neutral,1,Weekly,Poor,North America
10,EMP0011,33,Non-binary,Software Engineer,Finance,17,Remote,48,3,3,High,No mental health conditions,Yes,Decrease,4,Satisfied,2,Weekly,Average,Oceania
11,EMP0012,47,Female,Marketing,Consulting,31,Hybrid,26,12,4,Medium,No mental health conditions,Yes,No Change,4,Neutral,3,Weekly,Poor,Africa
12,EMP0013,40,Female,Marketing,Consulting,1,Remote,21,7,2,High,Depression/Anxiety/Burnout,Yes,Decrease,2,Neutral,1,Weekly,Good,Europe
13,EMP0014,51,Non-binary,Designer,Manufacturing,5,Hybrid,45,13,1,Low,Depression/Anxiety/Burnout,No,Decrease,2,Satisfied,5,Weekly,Poor,North America
14,EMP0015,36,Prefer not to say,Project Manager,Retail,23,Remote,59,11,3,High,Depression/Anxiety/Burnout,Yes,Decrease,5,Neutral,3,Weekly,Average,Oceania
15,EMP0016,56,Female,Sales,Healthcare,13,Remote,44,11,4,Low,Depression/Anxiety/Burnout,No,No Change,5,Satisfied,4,Weekly,Average,Africa
16,EMP0017,33,Prefer not to say,HR,Education,3,Onsite,52,9,2,Medium,No mental health conditions,No,No Change,1,Satisfied,1,Weekly,Good,Africa
17,EMP0018,45,Non-binary,Data Scientist,Consulting,20,Onsite,37,8,3,Low,Depression/Anxiety/Burnout,Yes,Decrease,5,Neutral,5,Weekly,Good,Europe
18,EMP0019,49,Non-binary,Software Engineer,IT,30,Remote,36,6,1,High,Depression/Anxiety/Burnout,No,No Change,3,Satisfied,2,Weekly,Good,Oceania
19,EMP0020,59,Male,Software Engineer,Consulting,13,Remote,59,4,3,Medium,Depression/Anxiety/Burnout,No,Decrease,4,Neutral,1,Daily,Average,South America
20,EMP0021,26,Female,Sales,Retail,33,Hybrid,21,1,2,Low,Depression/Anxiety/Burnout,No,Increase,2,Satisfied,1,Weekly,Poor,South America
21,EMP0022,26,Non-binary,Sales,Education,21,Onsite,54,12,3,Medium,Depression/Anxiety/Burnout,No,Decrease,3,Unsatisfied,4,Daily,Poor,North America
22,EMP0023,43,Prefer not to say,Sales,Finance,21,Onsite,57,1,3,Low,Depression/Anxiety/Burnout,Yes,Increase,3,Satisfied,4,Daily,Average,Africa
23,EMP0024,53,Non-binary,Marketing,Consulting,11,Onsite,22,12,5,Low,Depression/Anxiety/Burnout,No,No Change,2,Neutral,3,Weekly,Poor,Asia
24,EMP0025,56,Male,Sales,Finance,6,Remote,54,15,3,Low,Depression/Anxiety/Burnout,No,Increase,2,Neutral,4,Daily,Average,North America
25,EMP0026,49,Male,Project Manager,Healthcare,23,Onsite,21,14,4,High,Depression/Anxiety/Burnout,No,No Change,4,Neutral,3,No Physical Activity,Good,South America
26,EMP0027,36,Non-binary,Project Manager,Retail,30,Onsite,24,12,3,High,No mental health conditions,No,Decrease,4,Unsatisfied,4,No Physical Activity,Poor,North America
27,EMP0028,53,Female,Project Manager,Retail,31,Onsite,56,4,4,Low,Depression/Anxiety/Burnout,No,No Change,4,Unsatisfied,4,No Physical Activity,Poor,Oceania
28,EMP0029,47,Prefer not to say,Sales,IT,22,Onsite,33,10,3,High,Depression/Anxiety/Burnout,Yes,Decrease,4,Satisfied,1,Daily,Poor,Europe
29,EMP0030,59,Male,Software Engineer,Healthcare,34,Remote,25,15,2,High,Depression/Anxiety/Burnout,Yes,No Change,3,Satisfied,1,Weekly,Poor,North America
30,EMP0031,22,Female,Data Scientist,IT,22,Onsite,20,11,1,Low,Depression/Anxiety/Burnout,Yes,No Change,5,Neutral,2,Weekly,Average,Asia
31,EMP0032,37,Prefer not to say,Marketing,Manufacturing,4,Hybrid,33,14,2,Medium,Depression/Anxiety/Burnout,No,Decrease,3,Satisfied,5,No Physical Activity,Average,North America
32,EMP0033,45,Prefer not to say,Project Manager,Manufacturing,29,Remote,20,14,2,Medium,Depression/Anxiety/Burnout,Yes,Decrease,5,Satisfied,5,Daily,Good,North America
33,EMP0034,48,Male,Software Engineer,Healthcare,27,Remote,26,9,3,Medium,Depression/Anxiety/Burnout,Yes,No Change,5,Neutral,4,Daily,Average,North America
34,EMP0035,36,Male,Designer,IT,24,Hybrid,22,6,4,Medium,Depression/Anxiety/Burnout,No,No Change,1,Unsatisfied,3,Weekly,Average,Europe
35,EMP0036,46,Prefer not to say,Sales,Healthcare,28,Hybrid,57,8,4,Low,No mental health conditions,Yes,No Change,1,Neutral,5,No Physical Activity,Poor,Europe
36,EMP0037,48,Male,Sales,Finance,10,Onsite,30,12,1,Low,Depression/Anxiety/Burnout,Yes,Decrease,5,Satisfied,3,No Physical Activity,Poor,Asia
37,EMP0038,31,Female,Designer,Healthcare,18,Remote,47,14,2,Low,No mental health conditions,Yes,Increase,2,Satisfied,5,Daily,Good,Asia
38,EMP0039,24,Non-binary,Sales,IT,21,Onsite,48,12,4,Low,Depression/Anxiety/Burnout,Yes,No Change,3,Neutral,1,Weekly,Average,Africa
39,EMP0040,49,Male,Marketing,Consulting,20,Hybrid,20,1,3,High,No mental health conditions,No,Increase,1,Unsatisfied,5,Weekly,Poor,Asia
40,EMP0041,30,Non-binary,Data Scientist,IT,22,Remote,44,15,4,High,Depression/Anxiety/Burnout,No,Decrease,1,Neutral,5,Daily,Poor,Europe
41,EMP0042,53,Male,Project Manager,IT,14,Onsite,29,13,2,Low,No mental health conditions,No,No Change,1,Unsatisfied,5,No Physical Activity,Good,North America
42,EMP0043,54,Prefer not to say,Project Manager,Finance,26,Remote,58,6,3,High,No mental health conditions,Yes,Increase,3,Unsatisfied,3,Weekly,Poor,Europe
43,EMP0044,54,Female,Designer,Manufacturing,12,Remote,53,12,4,Medium,Depression/Anxiety/Burnout,Yes,No Change,1,Unsatisfied,3,No Physical Activity,Average,Europe
44,EMP0045,57,Prefer not to say,HR,Retail,13,Remote,23,6,3,High,Depression/Anxiety/Burnout,Yes,No Change,5,Neutral,2,Daily,Good,South America
45,EMP0046,32,Male,Marketing,Retail,24,Remote,42,8,2,Medium,Depression/Anxiety/Burnout,No,No Change,2,Neutral,3,Daily,Poor,North America
46,EMP0047,33,Male,Data Scientist,Education,33,Remote,35,15,1,Medium,Depression/Anxiety/Burnout,Yes,Decrease,1,Unsatisfied,5,Weekly,Good,South America
47,EMP0048,30,Female,Sales,Consulting,4,Remote,39,2,5,High,No mental health conditions,No,Decrease,1,Unsatisfied,4,No Physical Activity,Good,Oceania
48,EMP0049,22,Female,HR,Healthcare,7,Onsite,29,9,4,Low,No mental health conditions,No,Increase,2,Neutral,3,Daily,Poor,Africa
49,EMP0050,35,Male,Project Manager,Retail,11,Onsite,37,3,4,Medium,Depression/Anxiety/Burnout,No,No Change,1,Satisfied,3,No Physical Activity,Average,Europe
50,EMP0051,26,Non-binary,HR,Manufacturing,34,Onsite,28,10,4,High,Depression/Anxiety/Burnout,Yes,Decrease,5,Satisfied,4,Daily,Good,Europe
51,EMP0052,47,Male,Sales,Consulting,25,Remote,31,9,5,Low,No mental health conditions,No,Decrease,4,Satisfied,1,No Physical Activity,Good,South America
52,EMP0053,42,Female,Software Engineer,Retail,3,Onsite,26,14,3,Medium,No mental health conditions,No,Decrease,2,Satisfied,2,Daily,Good,South America
53,EMP0054,60,Prefer not to say,Project Manager,Healthcare,34,Onsite,46,15,2,Medium,Depression/Anxiety/Burnout,Yes,No Change,1,Neutral,1,No Physical Activity,Average,Asia
54,EMP0055,26,Female,Software Engineer,Education,5,Hybrid,55,6,1,Medium,Depression/Anxiety/Burnout,Yes,Decrease,4,Satisfied,1,Daily,Poor,Asia
55,EMP0056,30,Non-binary,Project Manager,Education,8,Hybrid,47,12,3,Low,Depression/Anxiety/Burnout,No,Increase,3,Neutral,5,Daily,Good,Africa
56,EMP0057,42,Male,Software Engineer,IT,14,Remote,48,13,5,Low,Depression/Anxiety/Burnout,Yes,Increase,4,Neutral,5,No Physical Activity,Good,Asia
57,EMP0058,53,Prefer not to say,HR,IT,7,Onsite,49,6,5,Low,No mental health conditions,No,No Change,4,Satisfied,3,No Physical Activity,Average,South America
58,EMP0059,26,Prefer not to say,Designer,Manufacturing,31,Remote,51,4,1,Low,No mental health conditions,No,Decrease,2,Unsatisfied,3,Daily,Average,Oceania
59,EMP0060,26,Prefer not to say,Data Scientist,IT,17,Remote,57,13,2,Medium,No mental health conditions,Yes,No Change,1,Satisfied,5,Daily,Poor,Oceania
60,EMP0061,25,Non-binary,Sales,Consulting,4,Hybrid,33,14,4,Medium,Depression/Anxiety/Burnout,Yes,No Change,1,Unsatisfied,2,Daily,Good,Europe
61,EMP0062,33,Female,Sales,IT,14,Remote,30,15,2,Medium,Depression/Anxiety/Burnout,Yes,Increase,5,Unsatisfied,5,Daily,Good,North America
62,EMP0063,25,Non-binary,Project Manager,Finance,20,Hybrid,28,4,3,Medium,Depression/Anxiety/Burnout,No,No Change,3,Satisfied,2,No Physical Activity,Poor,Asia
63,EMP0064,22,Female,Software Engineer,Healthcare,5,Onsite,31,15,3,Medium,Depression/Anxiety/Burnout,Yes,No Change,2,Satisfied,5,No Physical Activity,Good,South America
64,EMP0065,60,Prefer not to say,Data Scientist,Healthcare,18,Hybrid,37,0,4,Medium,Depression/Anxiety/Burnout,No,No Change,2,Unsatisfied,2,No Physical Activity,Good,Oceania
65,EMP0066,56,Male,HR,Finance,9,Remote,31,3,4,Medium,Depression/Anxiety/Burnout,Yes,Increase,4,Satisfied,4,Weekly,Poor,Europe
66,EMP0067,45,Non-binary,Software Engineer,IT,6,Hybrid,46,3,1,Medium,Depression/Anxiety/Burnout,No,Increase,3,Satisfied,2,Daily,Good,Oceania
67,EMP0068,60,Female,Marketing,Education,32,Remote,20,6,2,High,No mental health conditions,Yes,Decrease,3,Unsatisfied,4,Weekly,Poor,Oceania
68,EMP0069,32,Female,Designer,Manufacturing,23,Onsite,51,8,2,High,Depression/Anxiety/Burnout,Yes,Decrease,3,Neutral,1,Daily,Average,South America
69,EMP0070,25,Female,Marketing,Finance,6,Remote,28,13,2,Low,No mental health conditions,No,No Change,5,Neutral,1,Daily,Good,North America
70,EMP0071,43,Prefer not to say,Marketing,Consulting,23,Onsite,39,4,4,Medium,Depression/Anxiety/Burnout,No,Increase,4,Satisfied,1,Weekly,Average,North America
71,EMP0072,50,Prefer not to say,Designer,Consulting,25,Remote,29,13,1,Medium,Depression/Anxiety/Burnout,Yes,No Change,2,Neutral,2,Weekly,Average,Oceania
72,EMP0073,28,Prefer not to say,Designer,Retail,15,Onsite,30,14,5,High,Depression/Anxiety/Burnout,Yes,No Change,2,Unsatisfied,1,Weekly,Good,Africa
73,EMP0074,23,Non-binary,Software Engineer,IT,29,Hybrid,53,7,3,High,Depression/Anxiety/Burnout,Yes,Decrease,1,Neutral,1,No Physical Activity,Poor,Africa
74,EMP0075,38,Prefer not to say,Project Manager,Consulting,35,Onsite,57,10,2,Medium,Depression/Anxiety/Burnout,No,No Change,3,Neutral,3,Weekly,Poor,Africa
75,EMP0076,42,Male,Marketing,Retail,27,Onsite,49,3,5,High,Depression/Anxiety/Burnout,Yes,No Change,4,Satisfied,3,No Physical Activity,Good,Asia
76,EMP0077,31,Non-binary,HR,Consulting,4,Onsite,55,8,4,High,Depression/Anxiety/Burnout,No,No Change,1,Unsatisfied,2,Weekly,Good,Europe
77,EMP0078,28,Female,Marketing,Healthcare,25,Remote,37,10,5,Medium,Depression/Anxiety/Burnout,Yes,No Change,1,Satisfied,1,Daily,Average,South America
78,EMP0079,29,Male,Data Scientist,Manufacturing,15,Remote,51,5,2,High,Depression/Anxiety/Burnout,Yes,Increase,2,Neutral,1,Daily,Average,South America
79,EMP0080,27,Male,Project Manager,Consulting,21,Hybrid,21,7,5,Low,Depression/Anxiety/Burnout,No,No Change,4,Unsatisfied,3,Weekly,Average,Asia
80,EMP0081,54,Female,Data Scientist,Education,5,Hybrid,21,10,3,High,Depression/Anxiety/Burnout,No,Decrease,4,Satisfied,4,No Physical Activity,Poor,Asia
81,EMP0082,42,Non-binary,Software Engineer,Finance,33,Onsite,44,9,4,High,Depression/Anxiety/Burnout,Yes,Increase,3,Neutral,2,Daily,Poor,South America
82,EMP0083,58,Prefer not to say,HR,Education,32,Hybrid,26,10,3,High,Depression/Anxiety/Burnout,Yes,Increase,5,Unsatisfied,2,Weekly,Good,North America
